id,lang,accept_length,tag
10,hi,1.6623376623376624,v3_fa3
11,hi,1.5802469135802468,v3_fa3
12,hi,1.4382022471910112,v3_fa3
13,hi,1.5238095238095237,v3_fa3
14,hi,1.641025641025641,v3_fa3
15,hi,1.5802469135802468,v3_fa3
16,hi,1.5609756097560976,v3_fa3
17,hi,1.6842105263157894,v3_fa3
18,hi,1.4065934065934067,v3_fa3
19,hi,1.7066666666666668,v3_fa3
20,hi,1.4883720930232558,v3_fa3
21,hi,1.5238095238095237,v3_fa3
22,hi,1.3333333333333333,v3_fa3
23,hi,1.7297297297297298,v3_fa3
24,hi,1.4883720930232558,v3_fa3
25,hi,1.5058823529411764,v3_fa3
26,hi,1.5609756097560976,v3_fa3
27,hi,1.7066666666666668,v3_fa3
28,hi,1.641025641025641,v3_fa3
29,hi,1.5609756097560976,v3_fa3
30,hi,1.641025641025641,v3_fa3
31,hi,1.9393939393939394,v3_fa3
32,hi,1.471264367816092,v3_fa3
33,hi,1.4883720930232558,v3_fa3
34,hi,1.7297297297297298,v3_fa3
35,hi,1.4545454545454546,v3_fa3
36,hi,1.8285714285714285,v3_fa3
37,hi,1.4065934065934067,v3_fa3
38,hi,1.391304347826087,v3_fa3
39,hi,1.5609756097560976,v3_fa3
40,hi,1.620253164556962,v3_fa3
41,hi,1.4883720930232558,v3_fa3
42,hi,1.471264367816092,v3_fa3
43,hi,1.6623376623376624,v3_fa3
44,hi,1.6,v3_fa3
45,hi,1.5421686746987953,v3_fa3
46,hi,1.6623376623376624,v3_fa3
47,hi,1.5421686746987953,v3_fa3
48,hi,1.6623376623376624,v3_fa3
49,hi,1.620253164556962,v3_fa3
0,gu,1.8028169014084507,v3_fa3
1,gu,1.7297297297297298,v3_fa3
2,gu,2.0,v3_fa3
3,gu,1.7534246575342465,v3_fa3
4,gu,2.0,v3_fa3
5,gu,1.7534246575342465,v3_fa3
6,gu,2.0,v3_fa3
7,gu,1.8028169014084507,v3_fa3
8,gu,1.8028169014084507,v3_fa3
9,gu,2.1333333333333333,v3_fa3
10,gu,1.8823529411764706,v3_fa3
11,gu,1.6842105263157894,v3_fa3
12,gu,1.7534246575342465,v3_fa3
13,gu,1.8285714285714285,v3_fa3
14,gu,1.9393939393939394,v3_fa3
15,gu,1.7777777777777777,v3_fa3
16,gu,1.7534246575342465,v3_fa3
17,gu,1.8285714285714285,v3_fa3
18,gu,1.6623376623376624,v3_fa3
19,gu,1.9393939393939394,v3_fa3
20,gu,1.8285714285714285,v3_fa3
21,gu,1.855072463768116,v3_fa3
22,gu,2.0,v3_fa3
23,gu,1.7534246575342465,v3_fa3
24,gu,1.9393939393939394,v3_fa3
25,gu,1.855072463768116,v3_fa3
26,gu,2.0317460317460316,v3_fa3
27,gu,1.8028169014084507,v3_fa3
28,gu,1.9104477611940298,v3_fa3
29,gu,1.9692307692307693,v3_fa3
30,gu,2.098360655737705,v3_fa3
31,gu,2.064516129032258,v3_fa3
32,gu,1.6842105263157894,v3_fa3
33,gu,1.9393939393939394,v3_fa3
34,gu,1.8285714285714285,v3_fa3
35,gu,1.7297297297297298,v3_fa3
36,gu,2.1333333333333333,v3_fa3
37,gu,1.7777777777777777,v3_fa3
38,gu,1.855072463768116,v3_fa3
39,gu,1.7066666666666668,v3_fa3
40,gu,2.0317460317460316,v3_fa3
41,gu,1.6623376623376624,v3_fa3
42,gu,1.8028169014084507,v3_fa3
43,gu,1.7777777777777777,v3_fa3
44,gu,1.9104477611940298,v3_fa3
45,gu,1.8285714285714285,v3_fa3
